name,model_type,metric_type,metric_value,train_time
47_ExtraTrees_Stacked,Extra Trees,f1,0.9528384279475982,33.85
62_NeuralNetwork_SelectedFeatures_Stacked,Neural Network,f1,0.937117903930131,26.65
68_CatBoost_SelectedFeatures_Stacked,CatBoost,f1,0.9548443665059184,29.89
28_LightGBM_Stacked,LightGBM,f1,0.9541125541125542,31.78
46_RandomForest_Stacked,Random Forest,f1,0.9527972027972028,39.04
17_Xgboost_SelectedFeatures_Stacked,Xgboost,f1,0.9506334643949322,29.62
47_ExtraTrees_SelectedFeatures_Stacked,Extra Trees,f1,0.9536713286713285,28.68
62_NeuralNetwork_Stacked,Neural Network,f1,0.9349628982976865,28.95
33_CatBoost_Stacked,CatBoost,f1,0.9537521815008725,31.81
73_LightGBM_SelectedFeatures_Stacked,LightGBM,f1,0.9538327526132404,29.7
41_RandomForest_Stacked,Random Forest,f1,0.9533362407326647,37.54
11_Xgboost_Stacked,Xgboost,f1,0.9505902929602098,39.11
50_ExtraTrees_Stacked,Extra Trees,f1,0.9546643417611159,34.82
57_NeuralNetwork_Stacked,Neural Network,f1,0.9326880774307084,29.44
66_CatBoost_Stacked,CatBoost,f1,0.9525054466230938,39.61
69_LightGBM_Stacked,LightGBM,f1,0.9535388623534521,34.3
38_RandomForest_SelectedFeatures_Stacked,Random Forest,f1,0.952215464813206,31.91
Ensemble_Stacked,Ensemble,f1,0.9550414666084679,19.72
