Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,counter
0.1455226883613093,0.1899717627935269,0.1063173214513033,0.0688456958443469,0.1897600999799643,0
0.1248630249070592,0.1401209524687927,0.1001791519636392,0.0648413003948324,0.1533061305211959,0
0.0105469464918721,0.0172739305064412,0.0295412682033752,0.0121071559286278,0.0083152876877539,0
0.0035414578044539,0.0054801952773896,0.0075651986964849,0.005959457136137,0.0045276644362807,0
0.007338629374673,0.0034070243529944,0.0058929851757319,0.0047631899582188,0.0053267319407288,0
0.0027011895760969,0.0100319784052677,6.396729182966965e-06,0.0,0.0054743615949208,1
0.0003087650761088,0.0017414107024954,0.0003943674555807,0.0027999914852322,0.0014262572666773,0
0.0031122087171653,0.0015710137964597,0.0,0.0,0.0014218091755382,2
0.0001283657934399,0.0,0.0004040852758409,0.0039313073132711,0.001236464581641,2
0.0,0.0,0.0,0.0050464953963745,0.0,4
0.0,0.0,0.0026669816803281,0.0,0.0019799903184261,3
0.004034222452898,0.0004629844540297,0.0,0.0,0.0,3
0.0007237386832087,0.0034897234361411,0.0,0.0,-3.3604385742908026e-05,3
0.0,0.0020584168231536,0.0,0.0,0.0017102891862484,3
0.0,0.0,0.0035018853257709,0.0,9.377660636269435e-05,3
0.0,0.0021376407525987,0.0009973253468281,0.0,0.0003112298969506,2
0.0012738927360898,0.0,0.0,0.0,0.0017169264759309,3
0.0005275687690811,-6.341953014333823e-05,0.0024702307784611,0.0,0.0,3
0.0013980062375756,0.0002810962499232,0.0,0.0,0.0010147641716845,2
0.0,0.0018035625675088,0.0,0.0,0.0008431949841342,3
0.0,0.0009823602862978,0.0,0.0,0.0015250730460019,3
0.0006213880462467,-0.0001097796146745,-0.0004061545086952,0.0,0.0022071889592457,3
0.0,-1.1851703730808572e-05,0.0,0.0022914017987512,-4.286292994833408e-05,4
0.0,0.0,0.0021081466741875,0.0,0.0001051496055658,3
0.0,0.0014113537773825,0.0,0.0,0.0008011533895289,3
